<strong>JS Functions: Higher Order</strong><br>[Source: jonas/functions.md]<br>What defines a <strong>Higher Order Function</strong>?	It is a function that either:<br>1. Returns another function<br>2. Accepts a function as an argument	obsidian://open?vault=mohamed&file=jonas%2Ffunctions
<strong>JS Internals: Execution Context</strong><br>[Source: jonas/internals/execution context and the call stack.md]<br>What is an <strong>Execution Context</strong>?	An environment where a specific piece of JavaScript code is executed, storing all necessary information (variables, arguments, etc.) for that execution.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fexecution%20context%20and%20the%20call%20stack
<strong>JS Internals: Global EC</strong><br>[Source: jonas/internals/execution context and the call stack.md]<br>How many <strong>Global Execution Contexts</strong> exist in a JS program?	Exactly <strong>one</strong>.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fexecution%20context%20and%20the%20call%20stack
<strong>JS Internals: Execution Context</strong><br>[Source: jonas/internals/execution context and the call stack.md]<br>What are the 3 main components inside an <strong>Execution Context</strong>?	1. <strong>Variable Environment</strong> (let, const, var, functions)<br>2. <strong>Scope Chain</strong> (references to outer scopes)<br>3. <strong>`this` keyword</strong> binding	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fexecution%20context%20and%20the%20call%20stack
<strong>JS Internals: Call Stack</strong><br>[Source: jonas/internals/execution context and the call stack.md]<br>What is the primary function of the <strong>Call Stack</strong>?	It tracks the <strong>order of execution</strong> by stacking execution contexts (where we are in the program).	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fexecution%20context%20and%20the%20call%20stack
<strong>JS Overview: High-Level</strong><br>[Source: jonas/internals/high level overview of JS.md]<br>What does it mean for JS to be a <strong>High-Level</strong> language?	It abstracts away manual resource management (like memory allocation and CPU instructions) from the developer.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fhigh%20level%20overview%20of%20JS
<strong>JS Overview: Garbage Collection</strong><br>[Source: jonas/internals/high level overview of JS.md]<br>What is the role of <strong>Garbage Collection</strong> in JS?	It is an algorithm that automatically deletes objects that are no longer referenced to free up memory.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fhigh%20level%20overview%20of%20JS
<strong>JS Overview: Prototype-based</strong><br>[Source: jonas/internals/high level overview of JS.md]<br>What does <strong>Prototype-based</strong> mean in the context of JS objects?	Objects inherit properties and methods directly from other objects (prototypes) without needing classes (though classes exist as syntax sugar).	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fhigh%20level%20overview%20of%20JS
<strong>JS Overview: Concurrency</strong><br>[Source: jonas/internals/high level overview of JS.md]<br>How does JS handle concurrency despite being <strong>Single-Threaded</strong>?	It uses a <strong>Non-blocking Event Loop</strong> to handle asynchronous operations.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2Fhigh%20level%20overview%20of%20JS
<strong>JS Internals: Engine Components</strong><br>[Source: jonas/internals/Js engine.md]<br>What are the two main components of a <strong>JS Engine</strong> (like V8)?	1. <strong>Call Stack</strong> (Execution)<br>2. <strong>Heap</strong> (Memory storage for objects)	obsidian://open?vault=mohamed&file=jonas%2Finternals%2FJs%20engine
<strong>JS Internals: Compilation</strong><br>[Source: jonas/internals/Js engine.md]<br>What is <strong>Just-In-Time (JIT)</strong> compilation?	A hybrid approach where code is parsed and interpreted initially, then hot (frequently used) paths are compiled to machine code for optimization during execution.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2FJs%20engine
<strong>JS Internals: Parsing</strong><br>[Source: jonas/internals/Js engine.md]<br>What data structure does the parser create from source code before compilation?	An <strong>Abstract Syntax Tree (AST)</strong>.	obsidian://open?vault=mohamed&file=jonas%2Finternals%2FJs%20engine
<strong>JS Internals: Runtime</strong><br>[Source: jonas/internals/Js engine.md]<br>What are the 3 major components of a <strong>JS Runtime</strong> (in a browser)?	1. <strong>JS Engine</strong> (Heap + Call Stack)<br>2. <strong>Web APIs</strong> (DOM, Fetch, Timers)<br>3. <strong>Callback Queue & Event Loop</strong>	obsidian://open?vault=mohamed&file=jonas%2Finternals%2FJs%20engine
